time,first encoder,second encoder,third encoder,fourth encoder,fifth encoder,upper torque sensor,lower torque sensor
118.050001,871596.828000,871593.948000,290531.196000,290531.088000,72632.682000,1.572972,8.203430
118.051001,871616.196000,871613.298000,290537.640000,290537.532000,72634.302000,1.712010,8.359680
118.052001,871635.564000,871632.630000,290544.102000,290543.976000,72635.904000,2.065892,8.519287
118.053001,871654.914000,871651.980000,290550.528000,290550.402000,72637.524000,1.498509,8.796997
118.054001,871674.282000,871671.312000,290556.954000,290556.828000,72639.144000,1.651341,8.663025
118.055001,871693.632000,871690.590000,290563.398000,290563.290000,72640.746000,2.307347,8.560791
118.056001,871712.964000,871709.904000,290569.824000,290569.716000,72642.366000,1.479466,8.369446
118.057001,871732.332000,871729.218000,290576.268000,290576.160000,72643.986000,2.019139,7.839355
118.058001,871751.682000,871748.568000,290582.694000,290582.586000,72645.606000,1.714574,7.750244
118.059001,871771.032000,871767.864000,290589.138000,290589.030000,72647.208000,2.086156,6.814880
118.060001,871790.382000,871787.232000,290595.582000,290595.510000,72648.828000,1.814427,7.134094
118.061001,871809.750000,871806.618000,290602.062000,290601.954000,72650.448000,1.834691,7.031860
118.062001,871829.118000,871826.004000,290608.524000,290608.434000,72652.086000,2.079808,6.115723
118.063001,871848.468000,871845.444000,290615.022000,290614.914000,72653.688000,1.600804,7.271423
118.064001,871867.836000,871864.830000,290621.502000,290621.394000,72655.308000,1.866185,7.296753
118.065001,871887.204000,871884.306000,290627.982000,290627.874000,72656.928000,1.887669,7.555237
118.066001,871906.572000,871903.764000,290634.480000,290634.372000,72658.548000,1.305150,7.523499
118.067001,871925.958000,871923.168000,290640.960000,290640.852000,72660.168000,2.046971,7.766113
118.068001,871945.326000,871942.626000,290647.440000,290647.332000,72661.788000,1.557835,8.031006
118.069001,871964.694000,871962.030000,290653.902000,290653.794000,72663.408000,1.555272,8.203430
118.070001,871984.080000,871981.398000,290660.364000,290660.238000,72665.010000,1.758763,8.452454
118.071001,872003.430000,872000.748000,290666.808000,290666.700000,72666.630000,1.604588,8.624573
118.072001,872022.798000,872020.080000,290673.234000,290673.144000,72668.250000,1.743626,8.749084
118.073001,872042.148000,872039.376000,290679.660000,290679.552000,72669.852000,1.709569,8.257751
118.074001,872061.498000,872058.654000,290686.068000,290685.996000,72671.472000,1.700658,7.877808
118.075001,872080.848000,872077.914000,290692.494000,290692.422000,72673.092000,1.713353,7.149963
118.076001,872100.198000,872097.192000,290698.920000,290698.866000,72674.712000,1.848485,6.281738
118.077001,872119.566000,872116.488000,290705.346000,290705.292000,72676.332000,2.034276,4.931641
118.078001,872138.916000,872135.802000,290711.790000,290711.736000,72677.934000,1.911717,4.028320
118.079001,872158.284000,872155.188000,290718.252000,290718.198000,72679.554000,1.516209,5.017700
118.080001,872177.652000,872174.592000,290724.714000,290724.642000,72681.174000,2.077245,4.590149
118.081001,872197.020000,872194.014000,290731.194000,290731.140000,72682.794000,1.589452,4.752808
118.082001,872216.388000,872213.436000,290737.692000,290737.638000,72684.396000,2.002782,5.729675
118.083001,872235.774000,872232.948000,290744.208000,290744.136000,72686.016000,1.321507,6.013794
118.084001,872255.160000,872252.424000,290750.706000,290750.616000,72687.618000,1.889012,7.277832
118.085001,872274.546000,872271.882000,290757.204000,290757.096000,72689.238000,1.806859,7.514038
118.086001,872293.932000,872291.340000,290763.684000,290763.594000,72690.840000,1.707005,7.858582
118.087001,872313.318000,872310.780000,290770.164000,290770.074000,72692.460000,1.572972,8.190613
118.088001,872332.686000,872330.166000,290776.626000,290776.536000,72694.080000,1.629857,8.375854
118.089001,872352.072000,872349.534000,290783.070000,290782.980000,72695.682000,1.495946,8.216248
118.090001,872371.440000,872368.884000,290789.514000,290789.442000,72697.302000,1.599583,8.232117
118.091001,872390.808000,872388.216000,290795.940000,290795.850000,72698.904000,1.368260,7.970276
118.092001,872410.176000,872407.476000,290802.348000,290802.258000,72700.506000,2.309788,7.309570
118.093001,872429.526000,872426.736000,290808.774000,290808.702000,72702.126000,2.093724,7.086182
118.094001,872448.876000,872446.050000,290815.200000,290815.146000,72703.728000,1.559178,6.281738
118.095001,872468.244000,872465.310000,290821.626000,290821.572000,72705.330000,1.921849,6.569214
118.096001,872487.594000,872484.624000,290828.052000,290827.980000,72706.932000,1.594456,6.099854
118.097001,872506.962000,872503.938000,290834.496000,290834.424000,72708.534000,1.657689,6.281738
118.098001,872526.330000,872523.252000,290840.940000,290840.850000,72710.154000,1.926854,7.165833
118.099001,872545.680000,872542.566000,290847.384000,290847.276000,72711.756000,2.106419,6.406250
118.100001,872565.048000,872561.934000,290853.828000,290853.756000,72713.358000,1.844701,7.245789
118.101001,872584.398000,872581.284000,290860.308000,290860.200000,72714.978000,1.828343,7.421265
